bug,patch_name,tool,project,id,mutant-id,correct,s3-tool-buggy,s3-tool-developer,AST-tool-buggy,AST-tool-developer,Cosine-tool-buggy,Cosine-tool-developer,s3variable-tool-buggy,s3variable-tool-developer,capgen-tool,capgen-developer,variable-tool-buggy,variable-tool-developer,syntax-tool-buggy,syntax-tool-developer,semantic-tool-buggy,semantic-tool-developer,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,cosine_distance,braycurtis_distanc},canberra_distance,chebyshev_distance,cityblock_distance,euclidean_distance,minkowski_distance,seuclidean_distanc,patchedFileNo,addLineNo,rmLineNo,insertIfFalse,updIfFalse,ifFalse,dupArgsInvocation,removeNullinCond,condLogicReduce,insertBooleanLiteral,insertNewConstLiteral,UpdateLiteral,wrapsLoop,wrapsTryCatch,wrapsIfElse,wrongMethodRef,constChange,unwrapIfElse,unwrapTryCatch,expArithMod,codeMove,expLogicExpand,condBlockOthersAdd,wrapsElse,wrapsMethod,wrongVarRef,condBlockRem,unwrapMethod,singleLine,missNullCheckP,missNullCheckN,condBlockExcAdd,notClassified,copyPaste,condBlockRetAdd,expLogicReduce,expLogicMod,wrapsIf,P4J_SRC_ABST_V_AF,P4J_SRC_ASSIGN_CONST_AF,P4J_SRC_ASSIGN_LHS_AF,P4J_SRC_ASSIGN_ZERO_AF,P4J_SRC_CALLEE_AF,P4J_SRC_CALL_ARGUMENT_AF,P4J_SRC_CHANGED_AF,P4J_SRC_DEREF_AF,P4J_SRC_FUNC_ARGUMENT_VF,P4J_SRC_GLOBAL_VARIABLE_VF,P4J_SRC_INDEX_AF,P4J_SRC_INSERT_CONTROL_RF,P4J_SRC_INSERT_GUARD_RF,P4J_SRC_INSERT_STMT_RF,P4J_SRC_LOCAL_VARIABLE_VF,P4J_SRC_MEMBER_ACCESS_AF,P4J_SRC_MEMBER_VF,P4J_SRC_MODIFIED_SIMILAR_VF,P4J_SRC_MODIFIED_VF,P4J_SRC_NONZERO_CONST_VF,P4J_SRC_OP_ADD_AF,P4J_SRC_OP_DIV_AF,P4J_SRC_OP_EQ_AF,P4J_SRC_OP_GE_AF,P4J_SRC_OP_GT_AF,P4J_SRC_OP_LE_AF,P4J_SRC_OP_LT_AF,P4J_SRC_OP_MOD_AF,P4J_SRC_OP_MUL_AF,P4J_SRC_OP_NE_AF,P4J_SRC_OP_SUB_AF,P4J_SRC_REMOVE_PARTIAL_IF,P4J_SRC_REMOVE_STMT,P4J_SRC_REMOVE_WHOLE_BLOCK,P4J_SRC_REMOVE_WHOLE_IF,P4J_SRC_REPLACE_COND_RF,P4J_SRC_REPLACE_STMT_RF,P4J_SRC_R_STMT_ASSIGN_AF,P4J_SRC_R_STMT_CALL_AF,P4J_SRC_R_STMT_COND_AF,P4J_SRC_R_STMT_CONTROL_AF,P4J_SRC_SIZE_LITERAL_VF,P4J_SRC_STMT_ASSIGN_AF,P4J_SRC_STMT_CALL_AF,P4J_SRC_STMT_COND_AF,P4J_SRC_STMT_CONTROL_AF,P4J_SRC_STMT_LABEL_AF,P4J_SRC_STMT_LOOP_AF,P4J_SRC_STRING_LITERAL_VF,P4J_SRC_UOP_DEC_AF,P4J_SRC_UOP_INC_AF,P4J_SRC_ZERO_CONST_VF,P4J_FORMER_ABST_V_AF,P4J_FORMER_ASSIGN_CONST_AF,P4J_FORMER_ASSIGN_LHS_AF,P4J_FORMER_ASSIGN_ZERO_AF,P4J_FORMER_CALLEE_AF,P4J_FORMER_CALL_ARGUMENT_AF,P4J_FORMER_CHANGED_AF,P4J_FORMER_DEREF_AF,P4J_FORMER_FUNC_ARGUMENT_VF,P4J_FORMER_GLOBAL_VARIABLE_VF,P4J_FORMER_INDEX_AF,P4J_FORMER_INSERT_CONTROL_RF,P4J_FORMER_INSERT_GUARD_RF,P4J_FORMER_INSERT_STMT_RF,P4J_FORMER_LOCAL_VARIABLE_VF,P4J_FORMER_MEMBER_ACCESS_AF,P4J_FORMER_MEMBER_VF,P4J_FORMER_MODIFIED_SIMILAR_VF,P4J_FORMER_MODIFIED_VF,P4J_FORMER_NONZERO_CONST_VF,P4J_FORMER_OP_ADD_AF,P4J_FORMER_OP_DIV_AF,P4J_FORMER_OP_EQ_AF,P4J_FORMER_OP_GE_AF,P4J_FORMER_OP_GT_AF,P4J_FORMER_OP_LE_AF,P4J_FORMER_OP_LT_AF,P4J_FORMER_OP_MOD_AF,P4J_FORMER_OP_MUL_AF,P4J_FORMER_OP_NE_AF,P4J_FORMER_OP_SUB_AF,P4J_FORMER_REMOVE_PARTIAL_IF,P4J_FORMER_REMOVE_STMT,P4J_FORMER_REMOVE_WHOLE_BLOCK,P4J_FORMER_REMOVE_WHOLE_IF,P4J_FORMER_REPLACE_COND_RF,P4J_FORMER_REPLACE_STMT_RF,P4J_FORMER_R_STMT_ASSIGN_AF,P4J_FORMER_R_STMT_CALL_AF,P4J_FORMER_R_STMT_COND_AF,P4J_FORMER_R_STMT_CONTROL_AF,P4J_FORMER_SIZE_LITERAL_VF,P4J_FORMER_STMT_ASSIGN_AF,P4J_FORMER_STMT_CALL_AF,P4J_FORMER_STMT_COND_AF,P4J_FORMER_STMT_CONTROL_AF,P4J_FORMER_STMT_LABEL_AF,P4J_FORMER_STMT_LOOP_AF,P4J_FORMER_STRING_LITERAL_VF,P4J_FORMER_UOP_DEC_AF,P4J_FORMER_UOP_INC_AF,P4J_FORMER_ZERO_CONST_VF,P4J_LATER_ABST_V_AF,P4J_LATER_ASSIGN_CONST_AF,P4J_LATER_ASSIGN_LHS_AF,P4J_LATER_ASSIGN_ZERO_AF,P4J_LATER_CALLEE_AF,P4J_LATER_CALL_ARGUMENT_AF,P4J_LATER_CHANGED_AF,P4J_LATER_DEREF_AF,P4J_LATER_FUNC_ARGUMENT_VF,P4J_LATER_GLOBAL_VARIABLE_VF,P4J_LATER_INDEX_AF,P4J_LATER_INSERT_CONTROL_RF,P4J_LATER_INSERT_GUARD_RF,P4J_LATER_INSERT_STMT_RF,P4J_LATER_LOCAL_VARIABLE_VF,P4J_LATER_MEMBER_ACCESS_AF,P4J_LATER_MEMBER_VF,P4J_LATER_MODIFIED_SIMILAR_VF,P4J_LATER_MODIFIED_VF,P4J_LATER_NONZERO_CONST_VF,P4J_LATER_OP_ADD_AF,P4J_LATER_OP_DIV_AF,P4J_LATER_OP_EQ_AF,P4J_LATER_OP_GE_AF,P4J_LATER_OP_GT_AF,P4J_LATER_OP_LE_AF,P4J_LATER_OP_LT_AF,P4J_LATER_OP_MOD_AF,P4J_LATER_OP_MUL_AF,P4J_LATER_OP_NE_AF,P4J_LATER_OP_SUB_AF,P4J_LATER_REMOVE_PARTIAL_IF,P4J_LATER_REMOVE_STMT,P4J_LATER_REMOVE_WHOLE_BLOCK,P4J_LATER_REMOVE_WHOLE_IF,P4J_LATER_REPLACE_COND_RF,P4J_LATER_REPLACE_STMT_RF,P4J_LATER_R_STMT_ASSIGN_AF,P4J_LATER_R_STMT_CALL_AF,P4J_LATER_R_STMT_COND_AF,P4J_LATER_R_STMT_CONTROL_AF,P4J_LATER_SIZE_LITERAL_VF,P4J_LATER_STMT_ASSIGN_AF,P4J_LATER_STMT_CALL_AF,P4J_LATER_STMT_COND_AF,P4J_LATER_STMT_CONTROL_AF,P4J_LATER_STMT_LABEL_AF,P4J_LATER_STMT_LOOP_AF,P4J_LATER_STRING_LITERAL_VF,P4J_LATER_UOP_DEC_AF,P4J_LATER_UOP_INC_AF,P4J_LATER_ZERO_CONST_VF,S10_METHOD_CALL_WITH_NULL_GUARD,S11_FAULTY_CLASS_EXCEPTION_TYPE,S12_METHOD_CALL_WITH_TRY_CATCH,S13_TYPE_OF_FAULTY_STATEMENT_AFTER_1,S13_TYPE_OF_FAULTY_STATEMENT_AFTER_2,S13_TYPE_OF_FAULTY_STATEMENT_AFTER_3,S13_TYPE_OF_FAULTY_STATEMENT_BEFORE_1,S13_TYPE_OF_FAULTY_STATEMENT_BEFORE_2,S13_TYPE_OF_FAULTY_STATEMENT_BEFORE_3,S14_TYPE_OF_FAULTY_STATEMENT_PARENT,S15_HAS_OBJECTIVE_METHOD_CALL,S16_HAS_Invocations_Prone_Exception,S18_In_Synchronized_Method,S1_LOCAL_VAR_NOT_ASSIGNED,S1_LOCAL_VAR_NOT_USED,S2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,S2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD,S3_TYPE_OF_FAULTY_STATEMENT,S4_Field_NOT_ASSIGNED,S4_Field_NOT_USED,S5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,S5_SIMILAR_PRIMITIVE_TYPE_WITH_NULL_GUARD,S6_METHOD_THROWS_EXCEPTION
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Nopol.Lang.46,Lang_Nopol_46_1,Nopol,Lang,46,0,TRUE,7.127128439,53.00636244,6,12,0.127128439,0.006362443,1,41,0.413478848,0.522004128,0.75,0.643478261,0.757575758,0.890804598,0.727722772,0.910662824,[244],[244],[0.571],[0.5],1.071,0.005261838,0.049617986,11.24068165,0.76579088,25.08595657,3.15558672,3.15558672,31.55586677,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,If,0,0,0,0,0,0,0,Switch,0,0,0,0,1,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.53,Math_jGenProg_53_1,jGenProg,Math,53,0,TRUE,39.16230266,46.17442205,37,34,0.162302662,0.174422053,2,12,0.43815665,0.557142857,0.846153846,0.692307692,0.752727273,1,0.687927107,0.804761905,"[153, 175, 216]","[153, 178, 219]","[0.267, 0.333, 0.391]","[0.531, 1.0, 0.87]",1.131,0.00803113,0.067428441,18.41182838,0.75456655,20.13784027,2.380999804,2.380999804,23.80999778,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,Class,1,0,0,0,0,0,0,Method,0,0,0,0,0,0,1,
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.70,Math_jGenProg_70_1,jGenProg,Math,70,0,TRUE,2.005063324,0,1,0,0.005063324,0,1,0,0.458823529,1,0.75,1,0.764705882,1,0.8,1,[72],[72],[0.826],[1.0],1.826,0.023664474,0.115042251,23.85995506,0.593593061,16.01597595,1.965848804,1.965848804,19.6584882,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Method,0,0,0,0,0,0,0,Return,0,0,0,0,1,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.5,Math_jGenProg_5_1,jGenProg,Math,5,0,TRUE,373.1086144,432.1086144,342,342,0.10861435,0.10861435,31,90,0.008230957,0.006978465,0.634615385,0.473684211,0.797004992,0.904342354,0.016273415,0.016290638,"[305, 338, 361, 395, 408, 436]","[305, 321, 329, 349, 359, 384]","[0.846, 0.0, 0.0, 0.2, 0.2, 0.0]","[0.6, 0.0, 0.0, 0.0, 0.0, 0.031]",0.313,0.020476162,0.100862146,18.41231998,0.957709551,29.84040833,3.686578274,3.686578274,36.86578287,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,If,0,0,0,0,0,0,0,Return,0,0,0,0,0,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.GenProg.Closure.126,Closure_GenProg_126_1,GenProg,Closure,126,0,TRUE,12.16965345,15,6,14,0.169653446,1,6,0,0.006388889,0.143939394,0.1,1,0.239583333,0.616883117,0.266666667,0.233333333,[143],[143],[0.737],[0.545],1.282,0.010830522,0.074316959,16.50745416,0.687995672,18.35921669,2.284873724,2.284873724,22.84873685,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,If,LocalVariable,Invocation,If,0,0,0,0,0,0,0,If,0,0,0,0,0,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.GenProg.Closure.115,Closure_GenProg_115_1,GenProg,Closure,115,0,TRUE,11,61.04080117,2,48,1,0.040801173,8,13,0,0.258429328,0,0.8,0.098837209,0.763602251,0,0.423043096,[731],[731],[0.938],[0.75],1.688,0.005997896,0.057581274,15.99451315,0.728767395,20.2126236,2.484605312,2.484605312,24.84605317,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,If,,,,,,If,0,0,0,0,0,0,0,If,0,0,0,0,0,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Closure.126.1,Closure_SketchFix_126_1,SketchFix,Closure,126,1,TRUE,11.09887289,25,9,24,0.098872886,1,2,0,0.094408296,0.011404531,0.6,1,0.414012739,0.068807339,0.380053908,0.165745856,[141],[141],[0.68],[0.815],1.495,0.011375666,0.076510751,12.98822473,0.573483229,19.00445557,2.350671053,2.350671053,23.50670936,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,If,If,ForEach,If,If,,Method,0,0,0,0,0,0,0,If,0,0,0,0,0,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Closure.14.1,Closure_SketchFix_14_1,SketchFix,Closure,14,1,TRUE,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,[767],[767],[1.0],[0.933],1.933,0.005877495,0.050624475,11.23349247,0.885416746,22.39637566,2.866100073,2.866100073,28.66099956,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,ForEach,0,0,0,0,0,0,0,Invocation,0,0,0,0,0,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.20.1,Chart_SketchFix_20_1,SketchFix,Chart,20,1,TRUE,4,0,2,0,0,0,2,0,0.428571429,1,0.428571429,1,1,1,1,1,[95],[95],[1.0],[0.933],1.933,0.012273431,0.081123692,18.81711426,0.825031042,18.77410126,2.368022919,2.368022919,23.68022862,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assignment,,,,,,Constructor,1,0,0,0,0,0,0,Invocation,0,0,0,0,0,0,0,0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.9.1,Chart_SketchFix_9_1,SketchFix,Chart,9,1,TRUE,11.09630389,9.008685518,9,5,0.096303886,0.008685518,2,4,0.064007421,0.6,0.5,0.6,0.418181818,1,0.306122449,1,[944],[944],[0.565],[0.72],1.285,0.005538285,0.057322536,12.75515569,0.733992636,17.4384079,2.217368841,2.217368841,22.17368945,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,If,,,If,LocalVariable,If,Method,0,0,0,0,0,0,0,If,0,0,0,0,1,0,0,0
