bug,s3-tool-buggy,s3-tool-developer,AST-tool-buggy,AST-tool-developer,Cosine-tool-buggy,Cosine-tool-developer,s3variable-tool-buggy,s3variable-tool-developer,capgen-tool,capgen-developer,variable-tool-buggy,variable-tool-developer,syntax-tool-buggy,syntax-tool-developer,semantic-tool-buggy,semantic-tool-developer,tool,project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Nopol.Lang.46,7.1271284390560306,53.0063624429383,6,12,0.12712843905603055,0.006362442938294466,1,41,0.41347884788478845,0.5220041276191875,0.75,0.6434782608695652,0.7575757575757576,0.8908045977011494,0.7277227722772277,0.910662824207492,Nopol,Lang,46,0,[244],[244],[0.571],[0.5],1.071,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.53,39.162302662056454,46.1744220525181,37,34,0.16230266205645638,0.1744220525181034,2,12,0.4381566497284037,0.5571428571428572,0.8461538461538461,0.6923076923076923,0.7527272727272727,1.0,0.6879271070615034,0.804761904761904,jGenProg,Math,53,0,"[153, 175, 216]","[153, 178, 219]","[0.267, 0.333, 0.391]","[0.531, 1.0, 0.87]",1.131,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.70,2.005063323673818,0.0,1,0,0.005063323673817899,0.0,1,0,0.4588235294117647,1.0,0.75,1.0,0.7647058823529411,1.0,0.8,1.,jGenProg,Math,70,0,[72],[72],[0.826],[1.0],1.826,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.5,373.10861435014584,432.10861435014584,342,342,0.10861435014586951,0.10861435014586951,31,90,0.00823095683961902,0.0069784646539840095,0.6346153846153846,0.47368421052631576,0.7970049916805324,0.9043423536815607,0.016273414509506777,0.01629063839545590,jGenProg,Math,5,0,"[305, 338, 361, 395, 408, 436]","[305, 321, 329, 349, 359, 384]","[0.846, 0.0, 0.0, 0.2, 0.2, 0.0]","[0.6, 0.0, 0.0, 0.0, 0.0, 0.031]",0.313,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.GenProg.Closure.126,12.16965344635338,15.0,6,14,0.16965344635338042,1.0,6,0,0.006388888888888889,0.14393939393939395,0.1,1.0,0.23958333333333334,0.6168831168831169,0.26666666666666666,0.2333333333333333,GenProg,Closure,126,0,[143],[143],[0.737],[0.545],1.282,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.GenProg.Closure.115,11.0,61.040801172681334,2,48,1.0,0.04080117268133665,8,13,0.0,0.25842932835660815,0.0,0.8,0.09883720930232558,0.7636022514071295,0.0,0.423043095866314,GenProg,Closure,115,0,[731],[731],[0.938],[0.75],1.688,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Closure.126.1,11.098872886220834,25.0,9,24,0.09887288622083401,1.0,2,0,0.09440829570621663,0.011404531400476457,0.6,1.0,0.4140127388535032,0.06880733944954129,0.38005390835579517,0.1657458563535911,SketchFix,Closure,126,1,[141],[141],[0.68],[0.815],1.495,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Closure.14.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,SketchFix,Closure,14,1,[767],[767],[1.0],[0.933],1.933,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.20.1,4.0,0.0,2,0,0.0,0.0,2,0,0.42857142857142855,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,1.,SketchFix,Chart,20,1,[95],[95],[1.0],[0.933],1.933,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.9.1,11.096303885884936,9.00868551785232,9,5,0.0963038858849361,0.008685517852319857,2,4,0.06400742115027828,0.6,0.5,0.6,0.41818181818181815,1.0,0.30612244897959184,1.,SketchFix,Chart,9,1,[944],[944],[0.565],[0.72],1.285,TRUE
